,HomeTeam,AwayTeam,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS
78,Sunderland,Leicester,D,5,2,6,2,0.817717206132879,0.7901234567901233,0.5432098765432098,0.9540034071550255
79,Arsenal,Aston Villa,H,10,3,7,4,1.533219761499148,0.6419753086419753,0.9382716049382716,0.7836456558773424
80,Coventry,Tottenham,H,5,5,3,5,0.47700170357751276,1.1358024691358024,0.7901234567901233,1.2947189097103917
81,Everton,Southampton,D,3,4,9,8,0.9880749574105622,1.3333333333333333,0.6419753086419753,0.8858603066439523
82,Ipswich,West Ham,D,8,2,8,5,1.0562180579216354,0.7407407407407407,1.037037037037037,1.0221465076660987
83,Leeds,Charlton,H,10,8,8,5,1.2265758091993184,1.037037037037037,0.9382716049382716,1.2947189097103917
84,Leicester,Man United,A,4,5,6,7,0.9540034071550255,1.1358024691358024,1.4814814814814814,0.6473594548551959
85,Man City,Bradford,H,10,2,5,6,0.6814310051107325,1.5308641975308641,0.4938271604938271,1.3969335604770017
86,Sunderland,Chelsea,H,11,2,5,0,0.817717206132879,0.7901234567901233,1.1851851851851851,0.8517887563884157
87,Derby,Liverpool,A,0,11,4,3,0.7836456558773424,1.1851851851851851,1.5308641975308641,0.8517887563884157
88,Middlesbrough,Newcastle,A,2,8,6,6,0.6132879045996592,1.1358024691358024,0.8888888888888887,1.1243611584327087
89,Bradford,Ipswich,A,3,3,9,1,0.6814310051107325,1.4320987654320987,1.2839506172839505,0.9199318568994889
90,Charlton,Middlesbrough,H,2,6,5,6,1.0562180579216354,0.9382716049382716,1.2839506172839505,0.7155025553662692
91,Chelsea,Coventry,H,19,3,10,0,1.4991482112436116,0.9876543209876542,1.0864197530864197,1.362862010221465
92,Liverpool,Leicester,H,11,3,10,9,1.362862010221465,0.6913580246913579,0.5432098765432098,0.9540034071550255
93,Man United,Leeds,H,14,0,12,4,1.6695059625212947,0.5925925925925926,1.3827160493827158,0.7495741056218058
94,Newcastle,Everton,A,4,4,5,4,0.8858603066439523,0.8395061728395061,0.7901234567901233,1.090289608177172
95,Tottenham,Derby,H,8,7,7,4,1.0562180579216354,0.7901234567901233,0.6913580246913579,1.192504258943782
96,West Ham,Arsenal,A,3,5,5,4,0.817717206132879,0.9876543209876542,0.8888888888888887,0.8517887563884157
97,Aston Villa,Sunderland,D,4,3,7,3,0.9199318568994889,0.9876543209876542,1.0864197530864197,0.8517887563884157
98,Southampton,Man City,A,6,4,9,3,0.9199318568994889,1.0864197530864197,1.037037037037037,1.1584327086882453
99,Arsenal,Man City,H,14,2,10,4,1.533219761499148,0.6419753086419753,1.037037037037037,1.1584327086882453
100,Aston Villa,Charlton,H,7,4,9,6,0.9199318568994889,0.9876543209876542,0.9382716049382716,1.2947189097103917
101,Chelsea,Tottenham,H,7,3,2,3,1.4991482112436116,0.9876543209876542,0.7901234567901233,1.2947189097103917
102,Ipswich,Middlesbrough,H,11,3,6,1,1.0562180579216354,0.7407407407407407,1.2839506172839505,0.7155025553662692
103,Leicester,Derby,H,5,2,7,3,0.9540034071550255,1.1358024691358024,0.6913580246913579,1.192504258943782
104,Man United,Southampton,H,8,5,7,7,1.6695059625212947,0.5925925925925926,0.6419753086419753,0.8858603066439523
105,Sunderland,Coventry,H,7,4,1,3,0.817717206132879,0.7901234567901233,1.0864197530864197,1.362862010221465
106,West Ham,Newcastle,H,4,5,3,8,0.817717206132879,0.9876543209876542,0.8888888888888887,1.1243611584327087
107,Bradford,Leeds,D,6,9,5,9,0.6814310051107325,1.4320987654320987,1.3827160493827158,0.7495741056218058
108,Liverpool,Everton,H,8,7,9,6,1.362862010221465,0.6913580246913579,0.7901234567901233,1.090289608177172
109,Charlton,Bradford,H,7,8,3,6,1.0562180579216354,0.9382716049382716,0.4938271604938271,1.3969335604770017
110,Coventry,Man United,A,2,6,3,9,0.47700170357751276,1.1358024691358024,1.4814814814814814,0.6473594548551959
111,Leeds,Liverpool,H,7,8,7,7,1.2265758091993184,1.037037037037037,1.5308641975308641,0.8517887563884157
112,Man City,Leicester,A,3,2,9,4,0.6814310051107325,1.5308641975308641,0.5432098765432098,0.9540034071550255
113,Middlesbrough,Arsenal,A,3,8,5,8,0.6132879045996592,1.1358024691358024,0.8888888888888887,0.8517887563884157
114,Newcastle,Ipswich,H,6,5,7,4,0.8858603066439523,0.8395061728395061,1.2839506172839505,0.9199318568994889
115,Southampton,Chelsea,H,4,4,7,7,0.9199318568994889,1.0864197530864197,1.1851851851851851,0.8517887563884157
116,Tottenham,Sunderland,H,6,3,8,7,1.0562180579216354,0.7901234567901233,1.0864197530864197,0.8517887563884157
117,Everton,Aston Villa,A,6,1,6,2,0.9880749574105622,1.3333333333333333,0.9382716049382716,0.7836456558773424
118,Derby,West Ham,D,2,6,6,1,0.7836456558773424,1.1851851851851851,1.037037037037037,1.0221465076660987
119,Arsenal,Derby,D,9,2,10,0,1.533219761499148,0.6419753086419753,0.6913580246913579,1.192504258943782
120,Aston Villa,Tottenham,H,6,2,10,1,0.9199318568994889,0.9876543209876542,0.7901234567901233,1.2947189097103917
121,Bradford,Everton,A,6,4,3,3,0.6814310051107325,1.4320987654320987,0.7901234567901233,1.090289608177172
122,Ipswich,Charlton,H,13,4,13,3,1.0562180579216354,0.7407407407407407,0.9382716049382716,1.2947189097103917
123,Leicester,Newcastle,D,4,1,0,3,0.9540034071550255,1.1358024691358024,0.8888888888888887,1.1243611584327087
124,Man United,Middlesbrough,H,11,1,10,0,1.6695059625212947,0.5925925925925926,1.2839506172839505,0.7155025553662692
125,Sunderland,Southampton,D,5,5,7,4,0.817717206132879,0.7901234567901233,0.6419753086419753,0.8858603066439523
126,West Ham,Man City,H,11,5,7,5,0.817717206132879,0.9876543209876542,1.037037037037037,1.1584327086882453
127,Chelsea,Leeds,D,7,3,3,2,1.4991482112436116,0.9876543209876542,1.3827160493827158,0.7495741056218058
128,Liverpool,Coventry,H,13,5,7,1,1.362862010221465,0.6913580246913579,1.0864197530864197,1.362862010221465
129,Charlton,Chelsea,H,6,3,4,5,1.0562180579216354,0.9382716049382716,1.1851851851851851,0.8517887563884157
130,Derby,Bradford,H,3,4,2,4,0.7836456558773424,1.1851851851851851,0.4938271604938271,1.3969335604770017
131,Everton,Arsenal,H,2,2,3,5,0.9880749574105622,1.3333333333333333,0.8888888888888887,0.8517887563884157
132,Leeds,West Ham,A,6,3,2,2,1.2265758091993184,1.037037037037037,1.037037037037037,1.0221465076660987
133,Man City,Man United,A,4,4,10,11,0.6814310051107325,1.5308641975308641,1.4814814814814814,0.6473594548551959
134,Middlesbrough,Leicester,A,4,7,6,2,0.6132879045996592,1.1358024691358024,0.5432098765432098,0.9540034071550255
135,Newcastle,Sunderland,A,9,6,1,4,0.8858603066439523,0.8395061728395061,1.0864197530864197,0.8517887563884157
136,Southampton,Aston Villa,H,3,3,3,3,0.9199318568994889,1.0864197530864197,0.9382716049382716,0.7836456558773424
137,Tottenham,Liverpool,H,4,4,6,5,1.0562180579216354,0.7901234567901233,1.5308641975308641,0.8517887563884157
138,Coventry,Ipswich,A,5,4,5,5,0.47700170357751276,1.1358024691358024,1.2839506172839505,0.9199318568994889
139,Charlton,Sunderland,A,2,3,7,8,1.0562180579216354,0.9382716049382716,1.0864197530864197,0.8517887563884157
140,Coventry,Aston Villa,D,2,4,6,1,0.47700170357751276,1.1358024691358024,0.9382716049382716,0.7836456558773424
141,Derby,Man United,A,0,7,3,9,0.7836456558773424,1.1851851851851851,1.4814814814814814,0.6473594548551959
142,Everton,Chelsea,H,5,6,1,4,0.9880749574105622,1.3333333333333333,1.1851851851851851,0.8517887563884157
143,Man City,Ipswich,A,4,4,6,5,0.6814310051107325,1.5308641975308641,1.2839506172839505,0.9199318568994889
144,Middlesbrough,Bradford,D,9,5,6,4,0.6132879045996592,1.1358024691358024,0.4938271604938271,1.3969335604770017
145,Southampton,West Ham,A,5,8,6,10,0.9199318568994889,1.0864197530864197,1.037037037037037,1.0221465076660987
146,Tottenham,Leicester,H,7,5,5,8,1.0562180579216354,0.7901234567901233,0.5432098765432098,0.9540034071550255
147,Leeds,Arsenal,H,6,3,8,4,1.2265758091993184,1.037037037037037,0.8888888888888887,0.8517887563884157
148,Newcastle,Liverpool,H,6,9,5,11,0.8858603066439523,0.8395061728395061,1.5308641975308641,0.8517887563884157
149,Arsenal,Southampton,H,12,5,16,8,1.533219761499148,0.6419753086419753,0.6419753086419753,0.8858603066439523
150,Aston Villa,Newcastle,D,4,5,8,2,0.9199318568994889,0.9876543209876542,0.8888888888888887,1.1243611584327087
151,Bradford,Coventry,H,6,7,9,8,0.6814310051107325,1.4320987654320987,1.0864197530864197,1.362862010221465
152,Ipswich,Derby,A,5,3,6,1,1.0562180579216354,0.7407407407407407,0.6913580246913579,1.192504258943782
153,Leicester,Leeds,H,5,4,0,6,0.9540034071550255,1.1358024691358024,1.3827160493827158,0.7495741056218058
154,Liverpool,Charlton,H,3,2,6,5,1.362862010221465,0.6913580246913579,0.9382716049382716,1.2947189097103917
155,Man United,Tottenham,H,8,3,7,5,1.6695059625212947,0.5925925925925926,0.7901234567901233,1.2947189097103917
156,West Ham,Middlesbrough,H,6,3,7,5,0.817717206132879,0.9876543209876542,1.2839506172839505,0.7155025553662692
157,Chelsea,Man City,H,7,5,7,10,1.4991482112436116,0.9876543209876542,1.037037037037037,1.1584327086882453
158,Sunderland,Everton,H,11,2,8,4,0.817717206132879,0.7901234567901233,0.7901234567901233,1.090289608177172
159,Arsenal,Newcastle,H,10,1,5,2,1.533219761499148,0.6419753086419753,0.8888888888888887,1.1243611584327087
160,Bradford,Tottenham,D,6,4,7,2,0.6814310051107325,1.4320987654320987,0.7901234567901233,1.2947189097103917
161,Charlton,Man United,D,8,8,9,6,1.0562180579216354,0.9382716049382716,1.4814814814814814,0.6473594548551959
162,Chelsea,Derby,H,10,3,3,6,1.4991482112436116,0.9876543209876542,0.6913580246913579,1.192504258943782
163,Man City,Everton,H,9,4,5,13,0.6814310051107325,1.5308641975308641,0.7901234567901233,1.090289608177172
164,Southampton,Leeds,H,3,5,2,10,0.9199318568994889,1.0864197530864197,1.3827160493827158,0.7495741056218058
165,Sunderland,Middlesbrough,H,5,5,5,3,0.817717206132879,0.7901234567901233,1.2839506172839505,0.7155025553662692
166,West Ham,Aston Villa,D,5,4,4,4,0.817717206132879,0.9876543209876542,0.9382716049382716,0.7836456558773424
167,Coventry,Leicester,H,5,1,8,10,0.47700170357751276,1.1358024691358024,0.5432098765432098,0.9540034071550255
168,Liverpool,Ipswich,A,5,6,8,5,1.362862010221465,0.6913580246913579,1.2839506172839505,0.9199318568994889
169,Aston Villa,Man City,D,5,4,5,4,0.9199318568994889,0.9876543209876542,1.037037037037037,1.1584327086882453
170,Derby,Coventry,H,3,5,3,5,0.7836456558773424,1.1851851851851851,1.0864197530864197,1.362862010221465
171,Everton,West Ham,D,5,4,9,7,0.9880749574105622,1.3333333333333333,1.037037037037037,1.0221465076660987
172,Ipswich,Southampton,H,7,4,6,1,1.0562180579216354,0.7407407407407407,0.6419753086419753,0.8858603066439523
173,Leeds,Sunderland,H,8,6,8,5,1.2265758091993184,1.037037037037037,1.0864197530864197,0.8517887563884157
174,Leicester,Charlton,H,5,8,5,5,0.9540034071550255,1.1358024691358024,0.9382716049382716,1.2947189097103917
175,Middlesbrough,Chelsea,H,4,3,3,5,0.6132879045996592,1.1358024691358024,1.1851851851851851,0.8517887563884157
176,Newcastle,Bradford,H,6,3,4,3,0.8858603066439523,0.8395061728395061,0.4938271604938271,1.3969335604770017
177,Man United,Liverpool,A,4,4,9,2,1.6695059625212947,0.5925925925925926,1.5308641975308641,0.8517887563884157
178,Tottenham,Arsenal,D,4,10,3,7,1.0562180579216354,0.7901234567901233,0.8888888888888887,0.8517887563884157
179,Coventry,Southampton,D,5,2,8,6,0.47700170357751276,1.1358024691358024,0.6419753086419753,0.8858603066439523
180,Charlton,Everton,H,7,4,13,6,1.0562180579216354,0.9382716049382716,0.7901234567901233,1.090289608177172
181,Chelsea,Bradford,H,8,1,5,4,1.4991482112436116,0.9876543209876542,0.4938271604938271,1.3969335604770017
182,Derby,Newcastle,H,5,4,2,3,0.7836456558773424,1.1851851851851851,0.8888888888888887,1.1243611584327087
183,Leeds,Aston Villa,A,5,5,10,2,1.2265758091993184,1.037037037037037,0.9382716049382716,0.7836456558773424
184,Leicester,West Ham,H,6,4,6,5,0.9540034071550255,1.1358024691358024,1.037037037037037,1.0221465076660987
185,Liverpool,Arsenal,H,6,6,6,3,1.362862010221465,0.6913580246913579,0.8888888888888887,0.8517887563884157
186,Man United,Ipswich,H,4,3,11,3,1.6695059625212947,0.5925925925925926,1.2839506172839505,0.9199318568994889
187,Sunderland,Man City,H,5,3,8,6,0.817717206132879,0.7901234567901233,1.037037037037037,1.1584327086882453
188,Tottenham,Middlesbrough,D,8,0,8,4,1.0562180579216354,0.7901234567901233,1.2839506172839505,0.7155025553662692
189,Arsenal,Leicester,H,15,2,14,0,1.533219761499148,0.6419753086419753,0.5432098765432098,0.9540034071550255
190,Aston Villa,Man United,A,3,3,2,4,0.9199318568994889,0.9876543209876542,1.4814814814814814,0.6473594548551959
191,Bradford,Sunderland,A,3,11,9,8,0.6814310051107325,1.4320987654320987,1.0864197530864197,0.8517887563884157
192,Everton,Coventry,A,9,5,5,2,0.9880749574105622,1.3333333333333333,1.0864197530864197,1.362862010221465
193,Ipswich,Chelsea,D,13,4,8,2,1.0562180579216354,0.7407407407407407,1.1851851851851851,0.8517887563884157
194,Man City,Derby,D,7,3,7,7,0.6814310051107325,1.5308641975308641,0.6913580246913579,1.192504258943782
195,Middlesbrough,Liverpool,H,2,5,2,6,0.6132879045996592,1.1358024691358024,1.5308641975308641,0.8517887563884157
196,Newcastle,Leeds,H,4,5,7,2,0.8858603066439523,0.8395061728395061,1.3827160493827158,0.7495741056218058
197,West Ham,Charlton,H,10,8,5,8,0.817717206132879,0.9876543209876542,0.9382716049382716,1.2947189097103917
198,Southampton,Tottenham,H,6,2,4,4,0.9199318568994889,1.0864197530864197,0.7901234567901233,1.2947189097103917
199,Arsenal,Sunderland,D,9,7,11,1,1.533219761499148,0.6419753086419753,1.0864197530864197,0.8517887563884157
200,Ipswich,Tottenham,H,9,3,10,5,1.0562180579216354,0.7407407407407407,0.7901234567901233,1.2947189097103917
201,Man City,Charlton,A,1,8,7,4,0.6814310051107325,1.5308641975308641,0.9382716049382716,1.2947189097103917
202,Middlesbrough,Coventry,D,6,3,4,3,0.6132879045996592,1.1358024691358024,1.0864197530864197,1.362862010221465
203,Newcastle,Man United,D,4,6,6,3,0.8858603066439523,0.8395061728395061,1.4814814814814814,0.6473594548551959
204,Southampton,Derby,H,5,5,7,6,0.9199318568994889,1.0864197530864197,0.6913580246913579,1.192504258943782
205,Charlton,Arsenal,H,4,5,6,12,1.0562180579216354,0.9382716049382716,0.8888888888888887,0.8517887563884157
206,Chelsea,Aston Villa,H,5,3,2,5,1.4991482112436116,0.9876543209876542,0.9382716049382716,0.7836456558773424
207,Coventry,Man City,D,9,5,12,8,0.47700170357751276,1.1358024691358024,1.037037037037037,1.1584327086882453
208,Derby,Everton,H,3,6,5,11,0.7836456558773424,1.1851851851851851,0.7901234567901233,1.090289608177172
209,Leeds,Middlesbrough,D,5,3,5,1,1.2265758091993184,1.037037037037037,1.2839506172839505,0.7155025553662692
210,Leicester,Bradford,A,3,4,5,3,0.9540034071550255,1.1358024691358024,0.4938271604938271,1.3969335604770017
211,Liverpool,Southampton,H,8,3,15,2,1.362862010221465,0.6913580246913579,0.6419753086419753,0.8858603066439523
212,Man United,West Ham,H,12,5,8,2,1.6695059625212947,0.5925925925925926,1.037037037037037,1.0221465076660987
213,Sunderland,Ipswich,H,9,3,4,3,0.817717206132879,0.7901234567901233,1.2839506172839505,0.9199318568994889
214,Tottenham,Newcastle,H,10,4,9,6,1.0562180579216354,0.7901234567901233,0.8888888888888887,1.1243611584327087
215,Arsenal,Chelsea,D,8,8,10,3,1.533219761499148,0.6419753086419753,1.1851851851851851,0.8517887563884157
216,Aston Villa,Liverpool,A,1,6,1,4,0.9199318568994889,0.9876543209876542,1.5308641975308641,0.8517887563884157
217,Bradford,Man United,A,3,11,1,9,0.6814310051107325,1.4320987654320987,1.4814814814814814,0.6473594548551959
218,Everton,Tottenham,D,8,1,9,0,0.9880749574105622,1.3333333333333333,0.7901234567901233,1.2947189097103917
219,Man City,Leeds,A,3,6,4,5,0.6814310051107325,1.5308641975308641,1.3827160493827158,0.7495741056218058
220,Middlesbrough,Derby,H,8,3,4,5,0.6132879045996592,1.1358024691358024,0.6913580246913579,1.192504258943782
221,Newcastle,Coventry,H,6,5,2,7,0.8858603066439523,0.8395061728395061,1.0864197530864197,1.362862010221465
222,Southampton,Charlton,D,6,4,9,3,0.9199318568994889,1.0864197530864197,0.9382716049382716,1.2947189097103917
223,West Ham,Sunderland,A,6,5,9,6,0.817717206132879,0.9876543209876542,1.0864197530864197,0.8517887563884157
224,Ipswich,Leicester,H,9,3,8,1,1.0562180579216354,0.7407407407407407,0.5432098765432098,0.9540034071550255
225,Chelsea,Ipswich,H,10,2,11,1,1.4991482112436116,0.9876543209876542,1.2839506172839505,0.9199318568994889
226,Coventry,Everton,A,5,4,15,3,0.47700170357751276,1.1358024691358024,0.7901234567901233,1.090289608177172
227,Derby,Man City,D,3,4,5,4,0.7836456558773424,1.1851851851851851,1.037037037037037,1.1584327086882453
228,Leeds,Newcastle,A,5,7,16,1,1.2265758091993184,1.037037037037037,0.8888888888888887,1.1243611584327087
229,Leicester,Arsenal,D,0,4,1,9,0.9540034071550255,1.1358024691358024,0.8888888888888887,0.8517887563884157
230,Liverpool,Middlesbrough,D,7,2,7,3,1.362862010221465,0.6913580246913579,1.2839506172839505,0.7155025553662692
231,Man United,Aston Villa,H,7,3,7,3,1.6695059625212947,0.5925925925925926,0.9382716049382716,0.7836456558773424
232,Tottenham,Southampton,D,4,6,6,0,1.0562180579216354,0.7901234567901233,0.6419753086419753,0.8858603066439523
233,Sunderland,Bradford,D,6,3,8,7,0.817717206132879,0.7901234567901233,0.4938271604938271,1.3969335604770017
234,Charlton,West Ham,D,3,3,0,5,1.0562180579216354,0.9382716049382716,1.037037037037037,1.0221465076660987
235,Aston Villa,Leeds,A,4,3,5,3,0.9199318568994889,0.9876543209876542,1.3827160493827158,0.7495741056218058
236,Arsenal,Bradford,H,8,2,6,3,1.533219761499148,0.6419753086419753,0.4938271604938271,1.3969335604770017
237,Charlton,Derby,H,9,3,9,3,1.0562180579216354,0.9382716049382716,0.6913580246913579,1.192504258943782
